# pt>=x pt<x sig_eff
4.999999999999999 5.174762485320864 0.560251798561151
5.174762485320864 5.355633355896834 0.5856376392901362
5.355633355896834 5.542826115045604 0.6005392912172574
5.542826115045604 5.736561728558955 0.5630961115187088
5.736561728558955 5.937068885534861 0.5948968891995806
5.937068885534861 6.144584268326309 0.5945692883895131
6.144584268326309 6.359352831925547 0.6053341324543002
6.359352831925547 6.581628093113465 0.6131996658312447
6.581628093113465 6.8116724297154905 0.6238508682328907
6.8116724297154905 7.049757390317229 0.639400638663719
7.049757390317229 7.296164014805424 0.6510799376530839
7.296164014805424 7.551183166112636 0.6599913867355728
7.551183166112636 7.815115873557216 0.6821506226526982
7.815115873557216 8.088273688183897 0.6899945325314379
8.088273688183897 8.370979050524369 0.7001370801919122
8.370979050524369 8.663565671212076 0.7091080995902931
8.663565671212076 8.966378924900386 0.7142242615428736
8.966378924900386 9.27977625794923 0.7320288648348598
9.27977625794923 9.60412761036138 0.7417883211678832
9.60412761036138 9.939815852466479 0.7419161676646706
9.939815852466479 10.28723723686823 0.7588413972662182
10.28723723686823 10.646801866188317 0.7698189134808853
10.646801866188317 11.018934177159098 0.7870860005566379
11.018934177159098 11.404073441636568 0.7952253727484271
11.404073441636568 11.802674285124978 0.8055510989892508
11.802674285124978 12.2152072234252 0.8045698332231284
12.2152072234252 12.642159218040234 0.8070927778912259
12.642159218040234 13.084034250993588 0.8106573069559668
13.084034250993588 13.541353919738981 0.8232382061735586
13.541353919738981 14.014658052863584 0.8234108033534968
14.014658052863584 14.504505347311689 0.8138244702119153
14.504505347311689 15.011474027880876 0.8289455859110408
15.011474027880876 15.536162529769285 0.8346579201883857
15.536162529769285 16.07919020497956 0.8379812533891083
16.07919020497956 16.64119805341339 0.8386798820562009
16.64119805341339 17.222849479519642 0.8431073876618431
17.222849479519642 17.82483107538925 0.8474508843870494
17.82483107538925 18.447853431221162 0.8547273495843314
18.447853431221162 19.092651974116208 0.8558876598415314
19.092651974116208 19.75998783618878 0.8636122370198803
19.75998783618878 20.450648753021266 0.863186898651201
20.450648753021266 21.165449993521673 0.8568135034993825
21.165449993521673 21.90523532228214 0.855168176931347
21.90523532228214 22.67087799557422 0.8585885580914712
22.67087799557422 23.463281792156742 0.8604957371868726
23.463281792156742 24.283382080112965 0.8656189621335443
24.283382080112965 25.132146920976304 0.869277151166915
25.132146920976304 26.010578212448095 0.8704048363890758
26.010578212448095 26.91971287105613 0.8720792518937057
26.91971287105613 27.860624056150087 0.8724855214009115
27.860624056150087 28.834422436678704 0.8734298168388053
28.834422436678704 29.84225750224383 0.8775103018879274
29.84225750224383 30.8853189199793 0.8754363798025177
30.8853189199793 31.964837938855926 0.8790997008886137
31.964837938855926 33.08208884307056 0.8773983053598675
33.08208884307056 34.238390456234676 0.8815778487882261
34.238390456234676 35.435107698138225 0.8835409882486196
35.435107698138225 36.67365319592604 0.885371938809008
36.67365319592604 37.955488951589146 0.8892671874806551
37.955488951589146 39.282128067738824 0.8906872666115561
39.282128067738824 40.65513653370093 0.8919691294239215
40.65513653370093 42.07613507403867 0.89858477258388
42.07613507403867 43.54680106168571 0.9020338622084975
43.54680106168571 45.06887049794841 0.9058899187890641
45.06887049794841 46.64414006171355 0.9067593407594015
46.64414006171355 48.27446923028147 0.9070795120917703
48.27446923028147 49.96178247432739 0.9055514591741695
49.96178247432739 51.70807152958217 0.9069596978581722
51.70807152958217 53.515397747913894 0.9087300964781552
53.515397747913894 55.38589453058591 0.9097544022242817
55.38589453058591 57.32176984656281 0.9119425814801742
57.32176984656281 59.325308838838005 0.9117379952321489
59.325308838838005 61.39887652185865 0.9113945236660641
61.39887652185865 63.54492057323243 0.9125839392855724
63.54492057323243 65.7659742230114 0.9134561955917763
65.7659742230114 68.06465924396367 0.9158918686515828
68.06465924396367 70.44368904636225 0.9180039015795104
70.44368904636225 72.90587188094476 0.9167079821517105
72.90587188094476 75.45411415382445 0.9231583231583231
75.45411415382445 78.09142385726578 0.9199552197033305
78.09142385726578 80.82091412037389 0.9170684667309547
80.82091412037389 83.64580688389003 0.9182220039292731
83.64580688389003 86.56943670342957 0.9206438859079357
86.56943670342957 89.59525468565332 0.9180380767989674
89.59525468565332 92.72683256201745 0.9230629319752637
92.72683256201745 95.96786690491143 0.9240216486261449
95.96786690491143 99.3221834911602 0.9293951518004236
99.3221834911602 102.79374181804225 0.9157488986784141
102.79374181804225 106.38663977715272 0.9265344079355239
106.38663977715272 110.10511849163089 0.9292682926829269
110.10511849163089 113.95356732246005 0.9276789095039758
113.95356732246005 117.93652904975038 0.9246823956442831
117.93652904975038 122.05870523512043 0.9251769464105156
122.05870523512043 126.32496177150773 0.9223744292237442
126.32496177150773 130.74033462695814 0.9261920313520575
130.74033462695814 135.31003578917588 0.9455081001472754
135.31003578917588 140.0394594178502 0.9208992506244796
140.0394594178502 144.93418821202098 0.9286422200198216
144.93418821202098 149.99999999999997 0.9247685185185185
